raw_message_id,parse_status,reply_to_message_id,raw_text,warning_text,warnings_summary,primary_intent,intents,action_types,actions_structured_summary,signal_id,target_refs_count,links_count,hashtags_count,validation_warning_count,diagnostics_summary,notes_summary
1874,PARSED,293,"Тут, увы, убыток почти 8%

Не поздравляю",,,,,,,293,1,0,0,0,,
1870,PARSED,,"[trader#A]


Скорее всего сделаем перерыв по сделкам на пару дней. Биток уже в зоне разворота, а так как ллмка торгует по тренду и тренд локально медвежий, он будет давать только шорт. С очень плохим RR. Поэтому, лучше переждем.

Итак в работе 4 сделки. Wif, Ltc, hype и лонг aster",,,,,,,,0,0,0,0,,
1551,PARSED,823,,,,,,,,823,1,0,0,0,,
1321,PARSED,,"[trader#A]

PEOPLE - https://t.me/c/3171748254/1034 
SXP - https://t.me/c/3171748254/1036 
QTUM - https://t.me/c/3171748254/1038 
HYPE - https://t.me/c/3171748254/1044
JTO - https://t.me/c/3171748254/1081
MANA - https://t.me/c/3171748254/1083


Эти сделки продолжаю держать",,,,,,,,6,0,0,0,,
1249,PARSED,,"[trader#A]

MANA - https://t.me/c/3171748254/1083
SOL - https://t.me/c/3171748254/1159
LINK - https://t.me/c/3171748254/1160
SUI - https://t.me/c/3171748254/1168

Должны остаться в работе. Ближе к вечеру гляну, что можно открыть",,,,,,,,4,0,0,0,,
1022,PARSED,,"[trader#A]

HOOK лонг с текущих.
Остальные данные чуть позже",,,,,,,,0,0,0,0,,
1021,PARSED,,"[trader#A]

KAS лонг с текущих.
Остальные данные чуть позже",,,,,,,,0,0,0,0,,
1020,PARSED,,"[trader#A]

STORJ лонг с текущих.
Остальные данные чуть позже",,,,,,,,0,0,0,0,,
1018,PARSED,,"[trader#A]

TLM лонг с текущих.
Остальные данные чуть позже

финальная от меня",,,,,,,,0,0,0,0,,
942,PARSED,,"[trader#A]

#среднесрок #MOVRUSDT 🐻 Шорт (вход с текущих)

""sl"": 2.676,

полная информация чуть позже",,,,,,,,0,0,0,0,,
807,PARSED,1832,Также б/у,,,,,,,1832,1,0,0,0,,
700,PARSED,2093,Зайду по текущим,,,,,,,2093,1,0,0,0,,
545,PARSED,,"trader #A

Начинаем марафон, ожидайте сделки",,,,,,,,0,0,0,0,,
533,PARSED,,"trader #A

пока ждем",,,,,,,,0,0,0,0,,
484,PARSED,2371,Заходим по текущим заново,,,,,,,2371,1,0,0,0,,
483,PARSED,2360,Тоже заходим по текущим заново,,,,,,,2360,1,0,0,0,,
476,PARSED,2234,эту тоже возвращаем,,,,,,,2234,1,0,0,0,,
474,PARSED,2405,"для чистоты статистики. у меня вход по 0.0332, считаться также будет от этой цифры",,,,,,,2405,1,0,0,0,,
459,PARSED,2348,Актуально,,,,,,,2348,1,0,0,0,,
410,PARSED,2481,,,,,,,,2481,1,0,0,0,,
389,PARSED,,"Trader #A

Пока все, ждем лимиток и тейков
Всего 7 сигналов в работе
из них 3 уже торгуются, 4 сигнала ждут взятия лимиток",,,,,,,,0,0,0,0,,
280,PARSED,2681,,,,,,,,2681,1,0,0,0,,
251,PARSED,2601,Тут тоже бу,,,,,,,2601,1,0,0,0,,
244,PARSED,2708,продолжаем,,,,,,,2708,1,0,0,0,,
232,PARSED,2739,тут уже вход с текущих,,,,,,,2739,1,0,0,0,,
230,PARSED,,"[trader #A]

на этом пока все, ожидаем лимитки и тейки

Скорее всего лимитки будем переносить в ночь и уже завтра утром решу, что с ними делать, либо нас порадуют тейками😊",,,,,,,,0,0,0,0,,
158,PARSED,2851,Тут с текущих,,,,,,,2851,1,0,0,0,,
109,PARSED,2881,"Этот наконец-то вспомнил, что он интрадей, а не среднесрок…",,,,,,,2881,1,0,0,0,,
104,PARSED,,"Trader #A 

WOO и ATP стопы в бу",trader_a_ambiguous_update_without_target,trader_a_ambiguous_update_without_target,U_MOVE_STOP_TO_BE,U_MOVE_STOP_TO_BE,MOVE_STOP,MOVE_STOP(new_stop_level=ENTRY),,0,0,0,0,,
103,PARSED,,"Trader #A 

PYTH тоже стоп в бу",trader_a_ambiguous_update_without_target,trader_a_ambiguous_update_without_target,U_MOVE_STOP_TO_BE,U_MOVE_STOP_TO_BE,MOVE_STOP,MOVE_STOP(new_stop_level=ENTRY),,0,0,0,0,,
