raw_message_id,parse_status,reply_to_message_id,raw_text,warning_text,warnings_summary,primary_intent,intents,action_types,actions_structured_summary,symbol,direction,market_type,confidence,parser_used,parser_mode,status,signal_id,target_scope_kind,target_scope_scope,target_refs,target_refs_count,linking_strategy,new_stop_level,close_scope,close_fraction,hit_target,fill_state,result_mode,cancel_scope,reported_results,reported_profit_percent,reported_leverage_hint,tp_prices,links_count,hashtags_count,validation_warning_count,diagnostics_summary
1378,PARSED,,"[trader#C]
https://t.me/c/3171748254/1054  
В бу перевел",,,U_MOVE_STOP_TO_BE,U_MOVE_STOP_TO_BE | U_MOVE_STOP,U_MOVE_STOP_TO_BE | U_MOVE_STOP,U_MOVE_STOP_TO_BE | U_MOVE_STOP,,,,0.8,,,,1054,signal,single,1054,1,,,,,,,,,,,,,0,0,0,
1372,PARSED,,"[trader#C]

https://t.me/c/3171748254/1054
Ушли в б/у",,,U_EXIT_BE,U_EXIT_BE,U_EXIT_BE,U_EXIT_BE,,,,0.8,,,,1054,signal,single,1054,1,,,,,,,,,,,,,0,0,0,
1369,PARSED,,"https://t.me/c/3171748254/1062
Добор убрал, в бу перевел 
[trader#C]",,,U_MOVE_STOP_TO_BE,U_MOVE_STOP_TO_BE | U_MOVE_STOP | U_REMOVE_PENDING_ENTRY,U_MOVE_STOP_TO_BE | U_MOVE_STOP | U_REMOVE_PENDING_ENTRY,U_MOVE_STOP_TO_BE | U_MOVE_STOP | U_REMOVE_PENDING_ENTRY,,,,0.8,,,,1062,signal,single,1062,1,,,,,,,,,,,,,0,0,0,
1368,PARSED,,"]https://t.me/c/3171748254/1062
🥳 Tp1
 
[ trader#C]",,,U_TP_HIT,U_TP_HIT,U_TP_HIT,U_TP_HIT,,,,0.8,,,,1062,signal,single,1062,1,,,,,,,,,,,,,0,0,0,
1349,PARSED,,"https://t.me/c/3171748254/1095
Закрываю на точке входа,нет реакции
  
[trader#C]",,,U_CLOSE_FULL,U_CLOSE_FULL,U_CLOSE_FULL,U_CLOSE_FULL,,,,0.8,,,,1095,signal,single,1095,1,,,,,,,,,,,,,0,0,0,
1348,PARSED,,"https://t.me/c/3171748254/1095  
Не актуально 
[trader#C]",,,U_CANCEL_PENDING_ORDERS,U_CANCEL_PENDING_ORDERS,U_CANCEL_PENDING_ORDERS,U_CANCEL_PENDING_ORDERS,,,,0.8,,,,1095,signal,single,1095,1,,,,,,,,,,,,,0,0,0,
1345,PARSED,,"https://t.me/c/3171748254/1094
Первая лимитка сработала
[trader#C]",,,U_ACTIVATION,U_ACTIVATION,U_ACTIVATION,U_ACTIVATION,,,,0.8,,,,1094,signal,single,1094,1,,,,,,,,,,,,,0,0,0,
1342,PARSED,,"https://t.me/c/3171748254/1094
Тейк 1🥳
[ trader#C]",,,U_TP_HIT,U_TP_HIT,U_TP_HIT,U_TP_HIT,,,,0.8,,,,1094,signal,single,1094,1,,,,,,,,,,,,,0,0,0,
1340,PARSED,,"https://t.me/c/3171748254/1094
 В бу перевел 
Доливку убрал 
[trader#C ]",,,U_MOVE_STOP_TO_BE,U_MOVE_STOP_TO_BE | U_MOVE_STOP | U_REMOVE_PENDING_ENTRY,U_MOVE_STOP_TO_BE | U_MOVE_STOP | U_REMOVE_PENDING_ENTRY,U_MOVE_STOP_TO_BE | U_MOVE_STOP | U_REMOVE_PENDING_ENTRY,,,,0.8,,,,1094,signal,single,1094,1,,,,,,,,,,,,,0,0,0,
1337,PARSED,,"https://t.me/c/3171748254/1094
Тейк 2🥳
[trader#c]",,,U_TP_HIT,U_TP_HIT,U_TP_HIT,U_TP_HIT,,,,0.8,,,,1094,signal,single,1094,1,,,,,,,,,,,,,0,0,0,
